id,loss,accuracy
0,0.7131578922271729,0.0625
2,0.7067709763844808,0.1875
4,0.7045224070549011,0.2125
6,0.7039471779550824,0.19642857142857142
8,0.7020787729157342,0.24305555555555555
10,0.7000138055194508,0.32954545454545453
12,0.6970005768996018,0.40865384615384615
14,0.6947797815004985,0.45416666666666666
16,0.6928012160693898,0.4844961240310077
1,0.6577984690666199,0.875
3,0.6614348292350769,0.8125
5,0.6525383710861206,0.8625
7,0.6477264676775251,0.875
9,0.6461996502346463,0.8611111111111112
11,0.6408516331152483,0.8693181818181818
13,0.6422955347941472,0.8461538461538461
15,0.6357799331347148,0.8583333333333333
17,0.6308063408907723,0.8565891472868217
2,0.5781720876693726,0.9375
4,0.5852735837300619,0.8958333333333334
6,0.5927538394927978,0.8625
8,0.5940282259668622,0.8482142857142857
10,0.5829332603348626,0.8680555555555556
12,0.5789038918235085,0.8693181818181818
14,0.5815405776867499,0.8557692307692307
16,0.5811274270216624,0.85
18,0.5712755865910474,0.8565891472868217
3,0.5385458469390869,0.875
5,0.5573113759358724,0.8333333333333334
7,0.532993483543396,0.875
9,0.5153608790465763,0.9017857142857143
11,0.5281947354475657,0.875
13,0.5289668522097848,0.8693181818181818
15,0.5380320801184728,0.8509615384615384
17,0.528336888551712,0.8625
19,0.5419599922264323,0.8565891472868217
4,0.5374864339828491,0.8125
6,0.5381980538368225,0.8125
8,0.5115034878253937,0.85
10,0.4925899292741503,0.875
12,0.48578591148058575,0.8819444444444444
14,0.4938738589937037,0.8693181818181818
16,0.5060862646653101,0.8509615384615384
18,0.5052102982997895,0.85
20,0.49282635310116935,0.8565891472868217
5,0.47246113419532776,0.875
7,0.4521162410577138,0.8958333333333334
9,0.44685896635055544,0.9
11,0.4886824403490339,0.8482142857142857
13,0.4759279588858287,0.8611111111111112
15,0.4523465497927232,0.8863636363636364
17,0.4566207734438089,0.8798076923076923
19,0.4711761653423309,0.8625
21,0.4683505629791933,0.8565891472868217
6,0.443560928106308,0.875
8,0.46416619420051575,0.8541666666666666
10,0.4312358558177948,0.8875
12,0.46075741733823505,0.8571428571428571
14,0.47084583507643807,0.8472222222222222
16,0.458466191183437,0.8579545454545454
18,0.45930856466293335,0.8557692307692307
20,0.4555326739947001,0.8583333333333333
22,0.4487800072221195,0.8565891472868217
7,0.5026487112045288,0.8125
9,0.4523657063643138,0.8541666666666666
11,0.44133777022361753,0.8625
13,0.4364893138408661,0.8660714285714286
15,0.43302615814738804,0.8680555555555556
17,0.44344431161880493,0.8579545454545454
19,0.4501084479001852,0.8509615384615384
21,0.4411676267782847,0.8583333333333333
23,0.46351931901539073,0.8565891472868217
8,0.4900185763835907,0.8125
10,0.467016081015269,0.8333333333333334
12,0.44606871604919435,0.85
14,0.4373318680695125,0.8571428571428571
16,0.43242592612902325,0.8611111111111112
18,0.4420274848287756,0.8522727272727273
20,0.42557047880612886,0.8653846153846154
22,0.43333563407262166,0.8583333333333333
24,0.4262189041165745,0.8565891472868217
9,0.40769651532173157,0.875
11,0.35593074560165405,0.9166666666666666
13,0.3919797778129578,0.8875
15,0.3953208795615605,0.8839285714285714
17,0.379105140765508,0.8958333333333334
19,0.38366522707722406,0.8920454545454546
21,0.3932407761995609,0.8846153846153846
23,0.4217372864484787,0.8625
25,0.41915328099447136,0.8565891472868217
10,0.3147890865802765,0.9375
12,0.3688231607278188,0.8958333333333334
14,0.39657628536224365,0.875
16,0.43278828263282776,0.8482142857142857
